full_name,stars,watchers,forks,stars_delta,watchers_delta,forks_delta,url
anthropics/claude-code,73758,73758,5862,112,112,7,https://github.com/anthropics/claude-code
affaan-m/everything-claude-code,60429,60429,7485,260,260,29,https://github.com/affaan-m/everything-claude-code
shareAI-lab/learn-claude-code,21301,21301,4162,43,43,3,https://github.com/shareAI-lab/learn-claude-code
musistudio/claude-code-router,28947,28947,2217,20,20,0,https://github.com/musistudio/claude-code-router
davila7/claude-code-templates,22074,22074,2093,24,24,2,https://github.com/davila7/claude-code-templates
hesreallyhim/awesome-claude-code,26274,26274,1642,52,52,6,https://github.com/hesreallyhim/awesome-claude-code
anthropics/claude-code-action,6013,6013,1507,10,10,2,https://github.com/anthropics/claude-code-action
VoltAgent/awesome-claude-code-subagents,12492,12492,1346,43,43,6,https://github.com/VoltAgent/awesome-claude-code-subagents
diet103/claude-code-infrastructure-showcase,9152,9152,1183,2,2,-1,https://github.com/diet103/claude-code-infrastructure-showcase
shanraisshan/claude-code-best-practice,8986,8986,845,386,386,49,https://github.com/shanraisshan/claude-code-best-practice
frankbria/ralph-claude-code,7493,7493,531,2,2,0,https://github.com/frankbria/ralph-claude-code
Piebald-AI/claude-code-system-prompts,5316,5316,757,14,14,1,https://github.com/Piebald-AI/claude-code-system-prompts
ChrisWiles/claude-code-showcase,5438,5438,465,2,2,0,https://github.com/ChrisWiles/claude-code-showcase
OneRedOak/claude-code-workflows,3685,3685,547,1,1,2,https://github.com/OneRedOak/claude-code-workflows
1rgs/claude-code-proxy,3133,3133,418,1,1,1,https://github.com/1rgs/claude-code-proxy
disler/claude-code-hooks-mastery,3219,3219,573,2,2,0,https://github.com/disler/claude-code-hooks-mastery
zebbern/claude-code-guide,3511,3511,326,0,0,0,https://github.com/zebbern/claude-code-guide
kodu-ai/claude-coder,5291,5291,199,0,0,0,https://github.com/kodu-ai/claude-coder
ykdojo/claude-code-tips,4088,4088,287,16,16,0,https://github.com/ykdojo/claude-code-tips
Maciek-roboblog/Claude-Code-Usage-Monitor,6786,6786,331,3,3,1,https://github.com/Maciek-roboblog/Claude-Code-Usage-Monitor
Yuyz0112/claude-code-reverse,2146,2146,364,0,0,-1,https://github.com/Yuyz0112/claude-code-reverse
anthropics/skills,83744,83744,8809,180,180,18,https://github.com/anthropics/skills
pedrohcgs/claude-code-my-workflow,530,530,792,1,1,11,https://github.com/pedrohcgs/claude-code-my-workflow
fuergaosi233/claude-code-proxy,2091,2091,295,1,1,0,https://github.com/fuergaosi233/claude-code-proxy
Cranot/claude-code-guide,2437,2437,258,0,0,1,https://github.com/Cranot/claude-code-guide
anthropics/claude-code-security-review,3557,3557,283,2,2,0,https://github.com/anthropics/claude-code-security-review
anthropics/claude-code-base-action,592,592,590,0,0,0,https://github.com/anthropics/claude-code-base-action
router-for-me/CLIProxyAPI,13233,13233,2145,38,38,7,https://github.com/router-for-me/CLIProxyAPI
edmund-io/edmunds-claude-code,1259,1259,262,0,0,0,https://github.com/edmund-io/edmunds-claude-code
Pimzino/claude-code-spec-workflow,3482,3482,249,2,2,0,https://github.com/Pimzino/claude-code-spec-workflow
https-deeplearning-ai/sc-claude-code-files,439,439,595,0,0,0,https://github.com/https-deeplearning-ai/sc-claude-code-files
qwibitai/nanoclaw,18694,18694,3008,96,96,15,https://github.com/qwibitai/nanoclaw
RichardAtCT/claude-code-telegram,1901,1901,224,5,5,1,https://github.com/RichardAtCT/claude-code-telegram
eyaltoledano/claude-task-master,25767,25767,2442,1,1,0,https://github.com/eyaltoledano/claude-task-master
wshobson/agents,30231,30231,3313,24,24,3,https://github.com/wshobson/agents
siteboon/claudecodeui,7712,7712,981,36,36,3,https://github.com/siteboon/claudecodeui
ding113/claude-code-hub,1600,1600,199,1,1,0,https://github.com/ding113/claude-code-hub
snarktank/ralph,12017,12017,1304,30,30,1,https://github.com/snarktank/ralph
EveryInc/compound-engineering-plugin,9854,9854,783,7,7,0,https://github.com/EveryInc/compound-engineering-plugin
feiskyer/claude-code-settings,1252,1252,186,1,1,0,https://github.com/feiskyer/claude-code-settings
github/spec-kit,74056,74056,6330,60,60,5,https://github.com/github/spec-kit
sugyan/claude-code-webui,944,944,212,2,2,1,https://github.com/sugyan/claude-code-webui
carlvellotti/claude-code-pm-course,1552,1552,227,4,4,0,https://github.com/carlvellotti/claude-code-pm-course
lst97/claude-code-sub-agents,1441,1441,233,1,1,0,https://github.com/lst97/claude-code-sub-agents
ghuntley/claude-code-source-code-deobfuscation,851,851,414,0,0,0,https://github.com/ghuntley/claude-code-source-code-deobfuscation
sickn33/antigravity-awesome-skills,19732,19732,3479,239,239,35,https://github.com/sickn33/antigravity-awesome-skills
nishimoto265/Claude-Code-Communication,493,493,238,0,0,0,https://github.com/nishimoto265/Claude-Code-Communication
darcyegb/ClaudeCodeAgents,576,576,51,1,1,0,https://github.com/darcyegb/ClaudeCodeAgents
centminmod/my-claude-code-setup,1936,1936,180,1,1,0,https://github.com/centminmod/my-claude-code-setup
rizethereum/claude-code-requirements-builder,1749,1749,172,0,0,0,https://github.com/rizethereum/claude-code-requirements-builder
andrepimenta/claude-code-chat,995,995,152,0,0,0,https://github.com/andrepimenta/claude-code-chat
bfly123/claude_code_bridge,1406,1406,132,5,5,0,https://github.com/bfly123/claude_code_bridge
slopus/happy,14201,14201,1104,10,10,2,https://github.com/slopus/happy
disler/claude-code-hooks-multi-agent-observability,1236,1236,350,3,3,0,https://github.com/disler/claude-code-hooks-multi-agent-observability
Njengah/claude-code-cheat-sheet,1392,1392,175,1,1,0,https://github.com/Njengah/claude-code-cheat-sheet
obra/superpowers,70719,70719,5437,210,210,10,https://github.com/obra/superpowers
steipete/claude-code-mcp,1152,1152,140,0,0,0,https://github.com/steipete/claude-code-mcp
zhukunpenglinyutong/idea-claude-code-gui,1482,1482,165,5,5,1,https://github.com/zhukunpenglinyutong/idea-claude-code-gui
JessyTsui/Claude-Code-Remote,1130,1130,123,2,2,1,https://github.com/JessyTsui/Claude-Code-Remote
trailofbits/claude-code-config,1483,1483,111,5,5,1,https://github.com/trailofbits/claude-code-config
catlog22/Claude-Code-Workflow,1411,1411,114,2,2,0,https://github.com/catlog22/Claude-Code-Workflow
simonw/claude-code-transcripts,1084,1084,122,0,0,0,https://github.com/simonw/claude-code-transcripts
farion1231/cc-switch,23678,23678,1459,34,34,1,https://github.com/farion1231/cc-switch
EnzeD/vibe-coding,4001,4001,1341,-1,-1,0,https://github.com/EnzeD/vibe-coding
peterkrueck/Claude-Code-Development-Kit,1317,1317,149,1,1,0,https://github.com/peterkrueck/Claude-Code-Development-Kit
pchalasani/claude-code-tools,1534,1534,101,3,3,0,https://github.com/pchalasani/claude-code-tools
anthropics/claude-plugins-official,8993,8993,890,22,22,6,https://github.com/anthropics/claude-plugins-official
winfunc/opcode,20784,20784,1600,5,5,0,https://github.com/winfunc/opcode
alirezarezvani/claude-skills,2393,2393,315,18,18,6,https://github.com/alirezarezvani/claude-skills
0xfurai/claude-code-subagents,747,747,139,2,2,0,https://github.com/0xfurai/claude-code-subagents
jarrodwatts/claude-code-config,959,959,121,1,1,0,https://github.com/jarrodwatts/claude-code-config
jeremylongshore/claude-code-plugins-plus-skills,1506,1506,180,2,2,0,https://github.com/jeremylongshore/claude-code-plugins-plus-skills
ComposioHQ/awesome-claude-skills,40717,40717,4049,76,76,9,https://github.com/ComposioHQ/awesome-claude-skills
cixingguangming55555/wechat-bot,2533,2533,667,0,0,0,https://github.com/cixingguangming55555/wechat-bot
wasabeef/claude-code-cookbook,1023,1023,111,0,0,0,https://github.com/wasabeef/claude-code-cookbook
alirezarezvani/claude-code-tresor,569,569,136,0,0,0,https://github.com/alirezarezvani/claude-code-tresor
revfactory/claude-code-mastering,760,760,122,0,0,0,https://github.com/revfactory/claude-code-mastering
d-kimuson/claude-code-viewer,941,941,105,0,0,1,https://github.com/d-kimuson/claude-code-viewer
anthropics/claude-agent-sdk-demos,1592,1592,249,1,1,1,https://github.com/anthropics/claude-agent-sdk-demos
anthropics/claude-agent-sdk-python,5165,5165,684,4,4,0,https://github.com/anthropics/claude-agent-sdk-python
numman-ali/openskills,8743,8743,563,6,6,1,https://github.com/numman-ali/openskills
ericbuess/claude-code-docs,716,716,101,1,1,0,https://github.com/ericbuess/claude-code-docs
browser-use/browser-use,79602,79602,9412,20,20,4,https://github.com/browser-use/browser-use
Alishahryar1/free-claude-code,786,786,94,4,4,0,https://github.com/Alishahryar1/free-claude-code
code-yeongyu/oh-my-opencode,36908,36908,2779,61,61,2,https://github.com/code-yeongyu/oh-my-opencode
MadAppGang/claude-code,242,242,25,0,0,0,https://github.com/MadAppGang/claude-code
anomalyco/opencode,115944,115944,11762,131,131,17,https://github.com/anomalyco/opencode
kn1026/cc,704,704,270,0,0,0,https://github.com/kn1026/cc
opactorai/Claudable,3769,3769,563,1,1,0,https://github.com/opactorai/Claudable
greggh/claude-code.nvim,1885,1885,60,1,1,0,https://github.com/greggh/claude-code.nvim
lyconear/Claude-Code,4,4,147,0,0,0,https://github.com/lyconear/Claude-Code
severity1/claude-code-prompt-improver,1171,1171,100,2,2,0,https://github.com/severity1/claude-code-prompt-improver
Yeachan-Heo/oh-my-claudecode,8338,8338,581,33,33,2,https://github.com/Yeachan-Heo/oh-my-claudecode
superdesigndev/superdesign,6061,6061,686,0,0,0,https://github.com/superdesigndev/superdesign
upstash/context7,47696,47696,2254,24,24,4,https://github.com/upstash/context7
BloopAI/vibe-kanban,22368,22368,2173,27,27,10,https://github.com/BloopAI/vibe-kanban
danielmiessler/Personal_AI_Infrastructure,9498,9498,1324,11,11,3,https://github.com/danielmiessler/Personal_AI_Infrastructure
gsd-build/get-shit-done,24496,24496,2094,133,133,10,https://github.com/gsd-build/get-shit-done
daymade/claude-code-skills,621,621,89,0,0,0,https://github.com/daymade/claude-code-skills
manzaltu/claude-code-ide.el,1385,1385,82,1385,1385,82,https://github.com/manzaltu/claude-code-ide.el
